question;frequency
Q1;Bom
Q1;Muito Bom
Q1;Muito Bom
Q1;Excelente
Q1;Excelente
Q1;Excelente
Q1;Excelente
Q1;Excelente
Q1;Excelente
Q1;Excelente
Q1;Excelente
Q2;Bom
Q2;Muito Bom
Q2;Muito Bom
Q2;Muito Bom
Q2;Excelente
Q2;Excelente
Q2;Excelente
Q2;Excelente
Q2;Excelente
Q2;Excelente
Q2;Excelente
Q3;Bom
Q3;Muito Bom
Q3;Muito Bom
Q3;Excelente
Q3;Excelente
Q3;Excelente
Q3;Excelente
Q3;Excelente
Q3;Excelente
Q3;Excelente
Q3;Excelente
Q4;Bom
Q4;Razoável
Q4;Muito Bom
Q4;Muito Bom
Q4;Excelente
Q4;Excelente
Q4;Excelente
Q4;Excelente
Q4;Excelente
Q4;Excelente
Q4;Excelente
Q5;Bom
Q5;Bom
Q5;Muito Bom
Q5;Excelente
Q5;Excelente
Q5;Excelente
Q5;Excelente
Q5;Excelente
Q5;Excelente
Q5;Excelente
Q5;Excelente
Q6;Bom
Q6;Muito Bom
Q6;Muito Bom
Q6;Excelente
Q6;Excelente
Q6;Excelente
Q6;Excelente
Q6;Excelente
Q6;Excelente
Q6;Excelente
Q6;Excelente
